Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,MA20,MA50,Ticker,Signal
2024-10-11,1372.0999755859375,1383.2750244140625,1368.824951171875,1370.0,7980122,31.895209589287347,-29.60256765876511,-18.763352707453784,1447.8437438964845,1468.97505859375,RELIANCE,0
2024-10-14,1372.5250244140625,1380.074951171875,1368.25,1379.449951171875,12221432,32.0417310492562,-30.60461305358649,-21.131604776680327,1442.8387451171875,1466.2220678710937,RELIANCE,1
2024-10-15,1344.0250244140625,1371.699951171875,1340.699951171875,1358.5250244140625,33762794,27.73332834040964,-33.31442510874763,-23.568168843093787,1436.4724975585937,1463.2175,RELIANCE,1
2024-10-16,1354.074951171875,1364.0,1337.625,1340.0,20034438,31.244180196128937,-34.25614210451863,-25.70576349537876,1430.5612426757812,1461.4504125976562,RELIANCE,0
2024-10-17,1356.425048828125,1368.449951171875,1352.050048828125,1365.699951171875,15543660,32.075198378165965,-34.41609900207959,-27.447830596718926,1425.2099975585938,1459.5564135742188,RELIANCE,0
2024-10-18,1359.300048828125,1368.425048828125,1341.324951171875,1352.175048828125,12082452,33.13984399353488,-33.91987037193985,-28.742238551763112,1419.6912475585937,1457.5450122070313,RELIANCE,0
2024-10-21,1369.199951171875,1374.0,1357.7249755859375,1367.125,14067408,36.81254280777159,-32.3548002283469,-29.464750887079877,1413.8549926757812,1456.0445434570313,RELIANCE,0
2024-10-22,1343.3499755859375,1376.0,1340.2249755859375,1369.199951171875,15831960,31.88708445502597,-32.8219963138306,-30.13619997243002,1406.353741455078,1453.5252783203125,RELIANCE,0
2024-10-23,1338.5250244140625,1357.4749755859375,1335.0,1337.5,17214742,31.051948540524435,-33.1988896786886,-30.748737913681737,1398.8112426757812,1451.18208984375,RELIANCE,0
2024-10-24,1339.800048828125,1343.699951171875,1323.125,1335.2750244140625,22155934,31.562041881035896,-33.01413022862448,-31.201816376670287,1391.1037475585938,1448.8046044921875,RELIANCE,0
2024-10-25,1327.8499755859375,1344.3499755859375,1322.0,1343.5,18597496,29.36896879962849,-33.44642846537408,-31.650738794411048,1382.5987487792968,1446.2234985351563,RELIANCE,0
2024-10-28,1334.3499755859375,1353.0,1322.0999755859375,1337.0,10824350,32.131356638867985,-32.88544926664099,-31.89768088885704,1373.0074951171875,1443.4464990234376,RELIANCE,0
2024-10-29,1340.0,1343.199951171875,1320.300048828125,1328.0999755859375,12008361,34.528335158760555,-31.62045849652168,-31.84223641038997,1366.1787475585938,1440.4784985351562,RELIANCE,0
2024-10-30,1343.9000244140625,1350.0,1325.3499755859375,1335.0,11984423,36.20325933084421,-29.957908697767607,-31.4653708678655,1360.132501220703,1437.4375,RELIANCE,0
2024-10-31,1332.050048828125,1343.0,1326.1500244140625,1340.0,9331650,33.406782481845056,-29.25923772043916,-31.02414423838023,1356.3862548828124,1434.105,RELIANCE,0
2024-11-01,1338.6500244140625,1341.949951171875,1333.0,1333.050048828125,2127335,36.35550534010714,-27.85191354364906,-30.389698099434,1353.9925048828125,1430.9155004882812,RELIANCE,0
2024-11-04,1302.1500244140625,1340.0,1285.0999755859375,1337.8499755859375,19796890,28.768693466199096,-29.34358931917086,-30.18047634338137,1350.5637573242188,1426.9590014648438,RELIANCE,0
2024-11-05,1305.300048828125,1309.550048828125,1286.1500244140625,1293.0,16267479,30.123955220652107,-29.92659728896592,-30.129700532498283,1345.9612609863282,1422.8130029296874,RELIANCE,0
2024-11-06,1325.3499755859375,1328.300048828125,1300.199951171875,1310.0,21625209,38.185629996412246,-28.44290171437615,-29.79234076887386,1343.498760986328,1419.3110034179688,RELIANCE,0
2024-11-07,1305.6500244140625,1324.0,1302.5999755859375,1324.0,9611974,34.03120153457627,-28.527832605951065,-29.539439136289303,1340.228759765625,1415.4580029296876,RELIANCE,0
2024-11-08,1283.75,1301.6500244140625,1275.0,1297.6500244140625,19814406,30.10946434301252,-30.01628089185715,-29.634807487402878,1335.811260986328,1410.714501953125,RELIANCE,0
2024-11-11,1272.699951171875,1286.0,1267.0,1278.949951171875,9056552,28.33514831550717,-31.72186357631404,-30.05221870518511,1330.8200073242188,1405.9760009765623,RELIANCE,0
2024-11-12,1274.25,1289.300048828125,1267.5,1275.550048828125,10671091,28.967488789101623,-32.572992968715425,-30.55637355789117,1327.3312561035157,1401.1360009765624,RELIANCE,0
2024-11-13,1252.050048828125,1275.449951171875,1249.5,1270.25,14633633,25.49746043274476,-34.63956631301153,-31.373012108915248,1322.230010986328,1395.994501953125,RELIANCE,0
2024-11-14,1267.5999755859375,1272.5999755859375,1251.0999755859375,1253.5999755859375,12612633,31.671704266489485,-34.62347359281398,-32.023104405694994,1317.7887573242188,1391.0555004882813,RELIANCE,0
2024-11-18,1260.75,1272.9000244140625,1243.9000244140625,1267.5999755859375,13620611,30.47363395688033,-34.76273263549388,-32.57103005165477,1312.8612548828123,1386.4110009765625,RELIANCE,0
2024-11-19,1241.6500244140625,1281.5,1235.1500244140625,1260.75,14183746,27.36522361425142,-35.99932700187901,-33.25668944169962,1306.4837585449218,1381.9475024414062,RELIANCE,0
2024-11-21,1223.0,1243.949951171875,1217.25,1241.6500244140625,19433843,24.714319432213543,-38.04567123647234,-34.21448580065417,1300.466259765625,1377.1585034179689,RELIANCE,0
2024-11-22,1265.4000244140625,1268.8499755859375,1222.449951171875,1229.4000244140625,20471957,39.14703782330746,-35.83302535605503,-34.538193711734344,1296.810009765625,1373.2360034179687,RELIANCE,0
2024-11-25,1287.0,1304.449951171875,1282.449951171875,1290.0,28923341,44.93810675220804,-31.96804235051286,-34.024163439490046,1294.170007324219,1369.9460034179688,RELIANCE,0
2024-11-26,1295.699951171875,1297.8499755859375,1284.199951171875,1294.949951171875,9247557,47.12088408197948,-27.8816003882946,-32.79565082925096,1292.5625061035155,1366.2640014648437,RELIANCE,0
2024-11-27,1293.199951171875,1303.8499755859375,1286.0,1293.5,9572746,46.54982086774524,-24.56166323398338,-31.148853310197445,1290.5050048828125,1362.6755004882812,RELIANCE,0
2024-11-28,1270.800048828125,1296.5999755859375,1269.050048828125,1289.949951171875,15027412,41.676220824540486,-23.46755467345201,-29.61259358284836,1287.045007324219,1358.664501953125,RELIANCE,0
2024-11-29,1292.199951171875,1299.5,1275.25,1280.0,13202307,47.34773804025137,-20.635795874406767,-27.817234041160045,1284.460003662109,1355.0625,RELIANCE,0
2024-12-02,1309.1500244140625,1311.3499755859375,1277.050048828125,1288.0,11024152,51.38055118354122,-16.829873070941176,-25.619761847116276,1283.3150024414062,1351.9765014648438,RELIANCE,0
2024-12-03,1323.300048828125,1326.800048828125,1307.0,1317.0,16869482,54.51276160876779,-12.527454419002652,-23.00130036149355,1282.5475036621094,1349.0490014648435,RELIANCE,0
2024-12-04,1308.949951171875,1328.4000244140625,1304.050048828125,1326.0,19608540,50.929390952095545,-10.15858771648368,-20.43275783249157,1282.8875,1345.5094995117188,RELIANCE,0
2024-12-05,1322.050048828125,1329.949951171875,1306.1500244140625,1314.3499755859375,16858723,53.9080641515752,-7.141848604137067,-17.774575986820672,1283.725,1342.0830004882812,RELIANCE,0
2024-12-06,1311.550048828125,1323.9000244140625,1310.0,1323.9000244140625,9037514,51.224108898964005,-5.534524814074757,-15.32656575227149,1283.0350036621094,1338.5265014648437,RELIANCE,0
