Date,Close,High,Low,Open,Volume,Ticker,RSI,MACD,MACD_signal,MA20,MA50,Signal
2024-10-11,1886.7677001953125,1898.3705021069761,1862.3921159361064,1870.094824366297,4709431,INFY.NS,55.41845734784813,9.30783392084345,7.365164168984092,1868.025347900391,1839.9110229492187,0
2024-10-14,1909.9732666015625,1920.3084903207136,1882.8675698277727,1883.8913919551653,3751378,INFY.NS,59.96910754982139,11.439192693085715,8.179969873804417,1868.7468627929688,1841.983923339844,0
2024-10-15,1910.3634033203125,1941.71031054596,1903.001929010567,1911.0458720946388,5353705,INFY.NS,60.04295254863325,13.009821524194876,9.14594020388251,1869.1880615234368,1844.6769409179688,0
2024-10-16,1872.1424560546875,1910.6072016149433,1868.4861182079758,1906.170797419034,3111512,INFY.NS,50.26098696125892,11.04314664960998,9.525381493028004,1867.6060913085937,1847.9569189453125,0
2024-10-17,1918.9434814453125,1928.596236666682,1881.9413919550382,1886.8651885882837,8162822,INFY.NS,59.056941529899404,13.109871817211795,10.242279557864764,1871.308740234375,1852.1885205078124,0
2024-10-18,1832.6539306640625,1888.474019455993,1822.5624624334712,1846.4993341440768,10526196,INFY.NS,43.70915505674085,7.6962037600796975,9.73306439830775,1870.5969787597653,1853.903583984375,0
2024-10-21,1806.474609375,1851.3744846784607,1792.0930141849954,1843.86673306473,4654601,INFY.NS,40.28827150983661,1.2786410055343822,8.042179719753076,1868.013165283203,1856.040837402344,0
2024-10-22,1805.3531494140625,1830.8988317246783,1800.8192671870856,1811.7882795000614,4125240,INFY.NS,40.14333114171333,-3.853396602523389,5.663064455297783,1865.8266723632807,1857.6174487304688,0
2024-10-23,1826.60888671875,1838.894157924995,1797.9431745565698,1799.1619538234872,4311910,INFY.NS,44.23806469936694,-6.134696064844093,3.303512351269408,1864.5981506347653,1859.0994848632813,0
2024-10-24,1816.809814453125,1836.944071310787,1813.543509892815,1814.9085664464787,2906475,INFY.NS,42.78495742207188,-8.633820256628496,0.9160458296898272,1863.0405517578124,1860.3845678710936,0
2024-10-25,1815.5423583984375,1829.4851215197311,1800.2832184781212,1816.9072959329033,4689120,INFY.NS,42.5900884324417,-10.594540032256646,-1.3860713426994673,1861.178259277344,1861.1411865234368,0
2024-10-28,1818.7598876953125,1834.896572683092,1810.6184660544925,1813.2509816437453,7018940,INFY.NS,43.29614339507001,-11.7533119919608,-3.459519472551734,1859.1599609375,1861.2659912109373,0
2024-10-29,1813.7799072265625,1825.9091734808057,1803.6227707551052,1820.3868971098545,4621252,INFY.NS,42.42642651654143,-12.924504282774931,-5.352516434596375,1858.411260986328,1861.1771166992187,0
2024-10-30,1777.0960693359375,1813.4841106394226,1771.4258498491638,1806.5812347424808,5919715,INFY.NS,36.59491384440258,-16.621163324884265,-7.606245812653952,1854.426776123047,1860.210263671875,0
2024-10-31,1732.868408203125,1763.0931679230187,1722.2675629117984,1763.0931679230187,7395236,INFY.NS,31.05308170208152,-22.85612370949775,-10.656221392022712,1848.764733886719,1858.3491088867188,0
2024-11-01,1736.4183349609375,1741.4969032331146,1727.7405064233335,1740.017715602962,371966,INFY.NS,31.943941850618373,-27.197410495001805,-13.964459212618532,1842.0735961914063,1856.4117211914063,0
