Date,Close,High,Low,Open,Volume,Ticker,RSI,MACD,MACD_signal,20DMA,50DMA,Signal
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,,Hold
2024-08-01,1510.174560546875,1512.8653791590948,1499.2117679442729,1506.88567410313,10764222,RELIANCE.NS,,,,,,Hold
2024-08-02,1494.25341796875,1504.219592524845,1488.2239553567551,1499.9092706922956,10268248,RELIANCE.NS,,,,,,Hold
2024-08-05,1442.4293212890625,1478.8806780007048,1428.401979157231,1474.9938455626734,17046704,RELIANCE.NS,,,,,,Hold
2024-08-06,1451.125,1472.5023973081068,1446.415884855267,1450.2280198935075,10236186,RELIANCE.NS,,,,,,Hold
2024-08-07,1459.8701171875,1467.5192048297954,1456.5564128072976,1464.0310437317278,8174568,RELIANCE.NS,,,,,,Hold
2024-08-08,1444.223388671875,1460.0446920757677,1441.0342612156307,1452.5950003162839,12387192,RELIANCE.NS,,,,,,Hold
2024-08-09,1469.313232421875,1471.505742264147,1451.075083465356,1455.0615534748763,6249776,RELIANCE.NS,,,,,,Hold
2024-08-12,1455.6844482421875,1468.0175899089377,1452.8191729054677,1465.027737383665,8184584,RELIANCE.NS,,,,,,Hold
2024-08-13,1458.67431640625,1465.1024507415398,1453.0683428612606,1455.809041038811,6265064,RELIANCE.NS,,,,,,Hold
2024-08-14,1456.9052734375,1467.020965431434,1448.782816450946,1458.5995961882188,6267466,RELIANCE.NS,,,,,,Hold
2024-08-16,1473.199951171875,1475.392582683191,1453.1182057182932,1463.682326968092,9416902,RELIANCE.NS,,,,,,Hold
2024-08-19,1488.4000244140625,1498.300048828125,1480.5,1482.5,13797742,RELIANCE.NS,,,,,,Hold
2024-08-20,1495.949951171875,1503.925048828125,1490.0250244140625,1497.2249755859375,8411808,RELIANCE.NS,,,,,,Hold
2024-08-21,1498.675048828125,1507.875,1490.0,1493.25,7769996,RELIANCE.NS,56.081189705856296,,,,,Hold
2024-08-22,1498.125,1506.5,1490.6500244140625,1503.0,10445782,RELIANCE.NS,55.77998419277668,,,,,Hold
2024-08-23,1499.9749755859375,1511.324951171875,1498.425048828125,1503.75,9249654,RELIANCE.NS,56.62379805809034,,,,,Hold
2024-08-26,1512.5999755859375,1523.0,1503.0,1506.9749755859375,8816114,RELIANCE.NS,61.95877267074377,,,,,Hold
2024-08-27,1500.449951171875,1513.4749755859375,1499.449951171875,1510.5,6251156,RELIANCE.NS,54.95376329504266,,,,,Hold
2024-08-28,1498.300048828125,1507.4749755859375,1493.0,1505.0,9610286,RELIANCE.NS,53.79479269624099,,,,,Hold
2024-08-29,1520.925048828125,1537.0,1494.0,1503.0999755859375,38335358,RELIANCE.NS,62.70818529314575,,,1481.4626525878907,,Hold
2024-08-30,1509.625,1539.7249755859375,1503.324951171875,1534.0,41620730,RELIANCE.NS,56.81326082537663,,,1481.4351745605468,,Hold
2024-09-02,1516.25,1526.800048828125,1506.625,1510.875,11240852,RELIANCE.NS,59.23291824540711,,,1482.5350036621094,,Hold
2024-09-03,1509.125,1523.0,1507.5,1521.25,10923800,RELIANCE.NS,55.62343568294475,,,1485.8697875976563,,Hold
2024-09-04,1514.550048828125,1517.5,1499.5,1500.699951171875,11983304,RELIANCE.NS,57.73528639733158,,,1489.0410400390624,,Hold
2024-09-05,1492.9749755859375,1525.7750244140625,1487.050048828125,1519.050048828125,16264168,RELIANCE.NS,47.96013959242926,,,1490.6962829589845,,Hold
2024-09-06,1464.824951171875,1497.0,1461.625,1492.5,19394228,RELIANCE.NS,38.743167566918096,1.408489746065925,,1491.7263610839843,,Hold
2024-09-09,1462.449951171875,1469.925048828125,1455.5999755859375,1466.5,9010298,RELIANCE.NS,38.07827027443599,-1.4403154885255844,,1491.3831970214844,,Hold
2024-09-10,1461.5250244140625,1472.050048828125,1457.574951171875,1460.5,10768260,RELIANCE.NS,37.80615659083605,-3.729654881053421,,1491.675225830078,,Hold
2024-09-11,1451.5,1468.75,1447.550048828125,1463.050048828125,9760202,RELIANCE.NS,34.89541089136881,-6.2805107130043325,,1491.3165100097656,,Hold
2024-09-12,1479.800048828125,1486.0,1445.875,1457.0,22349376,RELIANCE.NS,47.24360104633543,-5.949917960146649,,1492.461248779297,,Hold
2024-09-13,1472.625,1483.1500244140625,1469.5,1476.4000244140625,8711328,RELIANCE.NS,44.91749457310031,-6.1954697786966335,,1492.4325012207032,,Hold
2024-09-16,1471.3499755859375,1480.9000244140625,1464.75,1477.550048828125,5481774,RELIANCE.NS,44.49821136066453,-6.418961387187437,,1491.5799987792968,,Hold
2024-09-17,1472.300048828125,1477.4749755859375,1466.625,1474.0,5935328,RELIANCE.NS,44.910860749641934,-6.4451217746659495,,1490.397503662109,,Hold
2024-09-18,1463.449951171875,1482.0,1460.550048828125,1470.0,8574714,RELIANCE.NS,41.79368992404031,-7.098159819774082,-4.825558613122851,1488.636248779297,,Hold
2024-09-19,1469.675048828125,1476.5,1455.550048828125,1466.25,16955902,RELIANCE.NS,44.70111408586611,-7.032319616784434,-5.266910813855168,1487.2137512207032,,Hold
2024-09-20,1485.925048828125,1495.0,1471.375,1474.0,30897320,RELIANCE.NS,51.51008706784949,-5.604298721373198,-5.334388395358774,1486.5112548828124,,Hold
2024-09-23,1493.375,1501.5,1488.949951171875,1491.0,8832314,RELIANCE.NS,54.28897439968838,-3.827314180244912,-5.032973552336002,1485.5500061035157,,Hold
2024-09-24,1489.375,1500.5,1487.875,1488.5,17137444,RELIANCE.NS,52.54771055664181,-2.710562027734113,-4.568491247415624,1484.9962585449218,,Hold
2024-09-25,1493.949951171875,1496.5,1480.199951171875,1483.9000244140625,7069002,RELIANCE.NS,54.35111954926201,-1.4397707945036018,-3.94274715683322,1484.7787536621097,,Hold
2024-09-26,1497.949951171875,1504.0,1488.050048828125,1490.6500244140625,18818998,RELIANCE.NS,55.92820775441439,-0.1086406739439098,-3.175925860255357,1483.6299987792968,,Hold
2024-09-27,1526.175048828125,1533.4749755859375,1492.0,1499.0,20597478,RELIANCE.NS,65.09259718431275,3.187080352337261,-1.9033246177368337,1484.457501220703,,Hold
2024-09-30,1476.574951171875,1524.9749755859375,1474.4000244140625,1519.4000244140625,27008814,RELIANCE.NS,46.7106809155584,1.7761750145680253,-1.167424691275862,1482.4737487792968,,Hold
2024-10-01,1464.824951171875,1487.949951171875,1462.824951171875,1480.6500244140625,16431642,RELIANCE.NS,43.57159865680108,-0.2867983983801423,-0.991299432696718,1480.258746337891,,Hold
2024-10-03,1406.9749755859375,1449.4000244140625,1402.074951171875,1436.574951171875,37757294,RELIANCE.NS,32.124938289793576,-6.514632618817814,-2.0959660699209373,1474.8799926757813,,Hold
2024-10-04,1386.5250244140625,1417.3499755859375,1381.7750244140625,1403.925048828125,37072876,RELIANCE.NS,29.20418929450864,-12.951084222685497,-4.266989700473849,1469.5574951171875,,Hold
2024-10-07,1370.7249755859375,1396.5,1361.375,1393.5,22181340,RELIANCE.NS,27.15029836242697,-19.106700237957057,-7.234931807970491,1464.852496337891,,Hold
2024-10-08,1397.3499755859375,1401.0,1365.0999755859375,1372.9749755859375,17020808,RELIANCE.NS,35.39566133331367,-21.58780452071437,-10.105506350519269,1461.5974975585937,,Hold
2024-10-09,1374.5999755859375,1400.9749755859375,1372.5,1397.5250244140625,14310610,RELIANCE.NS,32.05693748453332,-25.100489591014597,-13.104502998618331,1457.2512451171874,,Hold
2024-10-10,1371.050048828125,1386.0,1369.425048828125,1380.0250244140625,22358646,RELIANCE.NS,31.556735723755835,-27.849732853656405,-16.05354896962595,1453.2287475585938,,Hold
2024-10-11,1372.0999755859375,1383.2750244140625,1368.824951171875,1370.0,7980122,RELIANCE.NS,31.895209589287347,-29.60256765876511,-18.763352707453784,1447.8437438964845,1468.97505859375,Hold
2024-10-14,1372.5250244140625,1380.074951171875,1368.25,1379.449951171875,12221432,RELIANCE.NS,32.0417310492562,-30.60461305358649,-21.131604776680327,1442.8387451171875,1466.2220678710937,Hold
2024-10-15,1344.0250244140625,1371.699951171875,1340.699951171875,1358.5250244140625,33762794,RELIANCE.NS,27.73332834040964,-33.31442510874763,-23.568168843093787,1436.4724975585937,1463.2175,Hold
2024-10-16,1354.074951171875,1364.0,1337.625,1340.0,20034438,RELIANCE.NS,31.244180196128937,-34.25614210451863,-25.70576349537876,1430.5612426757812,1461.4504125976562,Hold
2024-10-17,1356.425048828125,1368.449951171875,1352.050048828125,1365.699951171875,15543660,RELIANCE.NS,32.075198378165965,-34.41609900207959,-27.447830596718926,1425.2099975585938,1459.5564135742188,Hold
2024-10-18,1359.300048828125,1368.425048828125,1341.324951171875,1352.175048828125,12082452,RELIANCE.NS,33.13984399353488,-33.91987037193985,-28.742238551763112,1419.6912475585937,1457.5450122070313,Hold
2024-10-21,1369.199951171875,1374.0,1357.7249755859375,1367.125,14067408,RELIANCE.NS,36.81254280777159,-32.3548002283469,-29.464750887079877,1413.8549926757812,1456.0445434570313,Hold
