Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,P&L (%),Holding_Days,Win
HDFCBANK,2025-01-13,2025-01-27,1613.1041259765625,1612.0655517578125,-0.06,10,False
HDFCBANK,2025-02-20,2025-03-07,1668.7420654296875,1670.86865234375,0.13,10,True
